trial,outcome,latency_ms
1,correct,104.6
2,correct,105.8
3,correct,104.4
4,correct,180.7
5,correct,113.7
6,correct,145.4
7,correct,100.2
8,correct,108.6
9,correct,130.6
10,correct,123.7
11,correct,106.4
12,correct,109.2
13,correct,172.2
14,correct,135.6
15,correct,101.0
16,correct,98.1
17,correct,96.1
18,correct,110.5
19,correct,176.4
20,correct,1395.7
21,correct,101.5
22,correct,101.7
23,correct,129.1
24,correct,100.5
25,correct,120.8
26,correct,109.9
27,correct,115.5
28,correct,100.9
29,correct,105.2
30,correct,103.2
31,correct,100.6
32,correct,104.1
33,correct,115.1
34,correct,99.0
35,correct,98.7
36,correct,109.8
37,correct,151.3
38,correct,124.6
39,correct,123.8
40,correct,164.8
41,correct,115.3
42,correct,138.6
43,correct,103.3
44,correct,107.9
45,correct,106.8
46,correct,134.2
47,correct,119.7
48,correct,114.7
49,correct,107.3
50,correct,105.2
51,correct,206.4
52,correct,140.6
53,correct,111.5
54,correct,184.1
55,correct,133.5
56,correct,106.0
57,correct,132.6
58,correct,249.0
59,correct,105.0
60,correct,100.5
61,correct,104.7
62,correct,109.4
63,correct,131.0
64,correct,132.8
65,correct,103.6
66,correct,105.3
67,correct,135.9
68,correct,123.2
69,correct,167.5
70,correct,114.6
71,correct,101.1
72,correct,106.0
73,correct,103.8
74,correct,114.9
75,correct,148.7
76,correct,111.7
77,correct,109.2
78,correct,109.9
79,correct,137.2
80,correct,123.0
81,correct,103.8
82,correct,102.3
83,correct,156.7
84,correct,114.1
85,correct,111.7
86,correct,171.5
87,correct,118.0
88,correct,106.6
89,correct,100.0
90,correct,157.4
91,correct,129.8
92,correct,108.3
93,correct,108.9
94,correct,105.2
95,correct,102.9
96,correct,171.0
97,correct,110.7
98,correct,135.8
99,correct,113.4
100,correct,107.8
