step,field,value,outcome,latency_ms,seen
1,temperature,25,match,713.5,"{'hvac_mode': 'cool', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
2,temperature,26,match,604.9,"{'hvac_mode': 'cool', 'temperature': 26, 'fan_mode': 'auto', 'swing_mode': 'off'}"
3,temperature,27,match,610.0,"{'hvac_mode': 'cool', 'temperature': 27, 'fan_mode': 'auto', 'swing_mode': 'off'}"
4,temperature,28,match,644.0,"{'hvac_mode': 'cool', 'temperature': 28, 'fan_mode': 'auto', 'swing_mode': 'off'}"
5,temperature,29,match,606.4,"{'hvac_mode': 'cool', 'temperature': 29, 'fan_mode': 'auto', 'swing_mode': 'off'}"
6,temperature,30,match,669.1,"{'hvac_mode': 'cool', 'temperature': 30, 'fan_mode': 'auto', 'swing_mode': 'off'}"
7,temperature,29,match,611.2,"{'hvac_mode': 'cool', 'temperature': 29, 'fan_mode': 'auto', 'swing_mode': 'off'}"
8,temperature,28,match,605.7,"{'hvac_mode': 'cool', 'temperature': 28, 'fan_mode': 'auto', 'swing_mode': 'off'}"
9,temperature,27,match,609.6,"{'hvac_mode': 'cool', 'temperature': 27, 'fan_mode': 'auto', 'swing_mode': 'off'}"
10,temperature,26,match,635.3,"{'hvac_mode': 'cool', 'temperature': 26, 'fan_mode': 'auto', 'swing_mode': 'off'}"
11,temperature,25,match,641.5,"{'hvac_mode': 'cool', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
12,temperature,24,match,661.3,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
13,temperature,23,match,620.8,"{'hvac_mode': 'cool', 'temperature': 23, 'fan_mode': 'auto', 'swing_mode': 'off'}"
14,temperature,22,match,613.6,"{'hvac_mode': 'cool', 'temperature': 22, 'fan_mode': 'auto', 'swing_mode': 'off'}"
15,temperature,21,match,610.1,"{'hvac_mode': 'cool', 'temperature': 21, 'fan_mode': 'auto', 'swing_mode': 'off'}"
16,temperature,20,match,611.6,"{'hvac_mode': 'cool', 'temperature': 20, 'fan_mode': 'auto', 'swing_mode': 'off'}"
17,temperature,19,match,600.5,"{'hvac_mode': 'cool', 'temperature': 19, 'fan_mode': 'auto', 'swing_mode': 'off'}"
18,temperature,18,match,640.2,"{'hvac_mode': 'cool', 'temperature': 18, 'fan_mode': 'auto', 'swing_mode': 'off'}"
19,temperature,17,match,630.5,"{'hvac_mode': 'cool', 'temperature': 17, 'fan_mode': 'auto', 'swing_mode': 'off'}"
20,temperature,16,match,627.5,"{'hvac_mode': 'cool', 'temperature': 16, 'fan_mode': 'auto', 'swing_mode': 'off'}"
