step,field,value,outcome,latency_ms,seen
1,temperature,25,match,605.0,"{'hvac_mode': 'cool', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
2,temperature,26,match,625.8,"{'hvac_mode': 'cool', 'temperature': 26, 'fan_mode': 'auto', 'swing_mode': 'off'}"
3,temperature,27,match,660.8,"{'hvac_mode': 'cool', 'temperature': 27, 'fan_mode': 'auto', 'swing_mode': 'off'}"
4,temperature,28,match,612.8,"{'hvac_mode': 'cool', 'temperature': 28, 'fan_mode': 'auto', 'swing_mode': 'off'}"
5,temperature,29,match,617.0,"{'hvac_mode': 'cool', 'temperature': 29, 'fan_mode': 'auto', 'swing_mode': 'off'}"
6,temperature,30,match,600.1,"{'hvac_mode': 'cool', 'temperature': 30, 'fan_mode': 'auto', 'swing_mode': 'off'}"
7,temperature,29,match,605.2,"{'hvac_mode': 'cool', 'temperature': 29, 'fan_mode': 'auto', 'swing_mode': 'off'}"
8,temperature,28,match,641.9,"{'hvac_mode': 'cool', 'temperature': 28, 'fan_mode': 'auto', 'swing_mode': 'off'}"
9,temperature,27,match,651.4,"{'hvac_mode': 'cool', 'temperature': 27, 'fan_mode': 'auto', 'swing_mode': 'off'}"
10,temperature,26,match,602.7,"{'hvac_mode': 'cool', 'temperature': 26, 'fan_mode': 'auto', 'swing_mode': 'off'}"
11,temperature,25,match,619.0,"{'hvac_mode': 'cool', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
12,temperature,24,match,695.0,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
13,temperature,23,match,683.9,"{'hvac_mode': 'cool', 'temperature': 23, 'fan_mode': 'auto', 'swing_mode': 'off'}"
14,temperature,22,match,614.0,"{'hvac_mode': 'cool', 'temperature': 22, 'fan_mode': 'auto', 'swing_mode': 'off'}"
15,temperature,21,match,625.1,"{'hvac_mode': 'cool', 'temperature': 21, 'fan_mode': 'auto', 'swing_mode': 'off'}"
16,temperature,20,match,630.7,"{'hvac_mode': 'cool', 'temperature': 20, 'fan_mode': 'auto', 'swing_mode': 'off'}"
17,temperature,19,match,622.3,"{'hvac_mode': 'cool', 'temperature': 19, 'fan_mode': 'auto', 'swing_mode': 'off'}"
