file,signal,outcome,expected,seen
Daikin_AC_unknownModel.ir,Cool_25_slow,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 25.0}","{'hvac_mode': 'cool', 'temperature': 25, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_AC_unknownModel.ir,Off,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'off'}","{'hvac_mode': 'off', 'temperature': 25, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_AC_unknownModel.ir,Auto_25_slow,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'heat_cool', 'temperature': 25.0}","{'hvac_mode': 'heat_cool', 'temperature': 25, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_AC_unknownModel.ir,Auto_25_auto,match,"{'fan_mode': 'auto', 'swing_mode': 'off', 'hvac_mode': 'heat_cool', 'temperature': 25.0}","{'hvac_mode': 'heat_cool', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,OFF,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'off'}","{'hvac_mode': 'off', 'temperature': 25, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,COOL,wrong,"{'fan_mode': 'quiet', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 23.5}","{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'quiet', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,HEAT,match,"{'fan_mode': 'quiet', 'swing_mode': 'off', 'hvac_mode': 'heat', 'temperature': 25.0}","{'hvac_mode': 'heat', 'temperature': 25, 'fan_mode': 'quiet', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,DRY,match,"{'fan_mode': 'auto', 'swing_mode': 'off', 'hvac_mode': 'dry'}","{'hvac_mode': 'dry', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,AUTO,match,"{'fan_mode': 'quiet', 'swing_mode': 'off', 'hvac_mode': 'heat_cool', 'temperature': 25.0}","{'hvac_mode': 'heat_cool', 'temperature': 25, 'fan_mode': 'quiet', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,FAN_ONLY,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'fan_only'}","{'hvac_mode': 'fan_only', 'temperature': 25, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,TEMP+,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 24.0}","{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'low', 'swing_mode': 'off'}"
