file,signal,outcome,expected,seen
Daikin_ARC480A41.ir,OFF,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'off'}","{'hvac_mode': 'off', 'temperature': 10.0, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,COOL,match,"{'fan_mode': 'quiet', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 23.5}","{'hvac_mode': 'cool', 'temperature': 23.5, 'fan_mode': 'quiet', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,HEAT,match,"{'fan_mode': 'quiet', 'swing_mode': 'off', 'hvac_mode': 'heat', 'temperature': 25.0}","{'hvac_mode': 'heat', 'temperature': 25.0, 'fan_mode': 'quiet', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,DRY,match,"{'fan_mode': 'auto', 'swing_mode': 'off', 'hvac_mode': 'dry'}","{'hvac_mode': 'dry', 'temperature': 25.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,AUTO,match,"{'fan_mode': 'quiet', 'swing_mode': 'off', 'hvac_mode': 'heat_cool', 'temperature': 25.0}","{'hvac_mode': 'heat_cool', 'temperature': 25.0, 'fan_mode': 'quiet', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,FAN_ONLY,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'fan_only'}","{'hvac_mode': 'fan_only', 'temperature': 25.0, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,TEMP+,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 24.0}","{'hvac_mode': 'cool', 'temperature': 24.0, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,TEMP-,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 23.5}","{'hvac_mode': 'cool', 'temperature': 23.5, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,POWERFUL,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 23.5}","{'hvac_mode': 'cool', 'temperature': 23.5, 'fan_mode': 'low', 'swing_mode': 'off'}"
Daikin_ARC480A41.ir,COMFORT,match,"{'fan_mode': 'low', 'swing_mode': 'off', 'hvac_mode': 'cool', 'temperature': 23.5}","{'hvac_mode': 'cool', 'temperature': 23.5, 'fan_mode': 'low', 'swing_mode': 'off'}"
