trial,outcome,latency_ms
1,correct,115.0
2,correct,146.5
3,correct,110.6
4,correct,140.5
5,correct,111.5
6,correct,119.8
7,correct,135.9
8,correct,128.2
9,correct,128.8
10,correct,134.4
11,correct,136.9
12,correct,100.9
13,correct,189.6
14,correct,119.0
15,correct,120.8
16,correct,130.3
17,correct,129.5
18,correct,129.5
19,correct,137.8
20,correct,100.4
21,correct,121.3
22,correct,108.1
23,correct,114.2
24,correct,102.6
25,correct,103.2
26,correct,106.7
27,correct,114.2
28,correct,101.9
29,correct,96.4
30,correct,103.2
31,correct,135.8
32,correct,118.2
33,correct,110.2
34,correct,113.6
35,correct,108.9
36,correct,119.8
37,correct,111.4
38,correct,108.0
39,correct,125.8
40,correct,101.8
41,correct,104.4
42,correct,98.2
43,correct,100.4
44,correct,104.6
45,correct,106.6
46,correct,102.7
47,correct,119.7
48,correct,104.1
49,correct,123.4
50,correct,127.1
51,correct,96.9
52,correct,119.5
53,correct,104.4
54,correct,196.4
55,correct,104.2
56,correct,131.2
57,correct,118.6
58,correct,127.2
59,correct,215.5
60,correct,102.1
61,correct,114.9
62,correct,137.0
63,correct,165.0
64,correct,132.5
65,correct,125.6
66,correct,142.7
67,correct,110.4
68,correct,100.1
69,correct,1107.9
70,correct,113.3
71,correct,106.9
72,correct,103.4
73,correct,116.0
74,correct,112.6
75,correct,104.3
76,correct,107.4
77,correct,104.7
78,correct,102.3
79,correct,101.7
80,correct,122.1
81,correct,97.7
82,correct,135.8
83,correct,124.3
84,correct,103.5
85,correct,137.9
86,correct,111.5
87,correct,101.7
88,correct,96.3
89,correct,109.7
90,correct,105.2
91,correct,128.9
92,correct,107.3
93,missed,
94,missed,
95,missed,
96,missed,
97,missed,
98,missed,
99,missed,
100,missed,
