step,field,value,outcome,latency_ms,seen
1,temperature,25,match,612.5,"{'hvac_mode': 'cool', 'temperature': 25.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
2,temperature,26,match,631.0,"{'hvac_mode': 'cool', 'temperature': 26.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
3,temperature,27,match,636.6,"{'hvac_mode': 'cool', 'temperature': 27.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
4,temperature,28,match,612.3,"{'hvac_mode': 'cool', 'temperature': 28.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
5,temperature,29,match,602.2,"{'hvac_mode': 'cool', 'temperature': 29.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
6,temperature,30,match,614.2,"{'hvac_mode': 'cool', 'temperature': 30.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
7,temperature,29,match,659.3,"{'hvac_mode': 'cool', 'temperature': 29.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
8,temperature,28,match,624.4,"{'hvac_mode': 'cool', 'temperature': 28.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
9,temperature,27,match,637.6,"{'hvac_mode': 'cool', 'temperature': 27.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
10,temperature,26,match,614.4,"{'hvac_mode': 'cool', 'temperature': 26.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
11,temperature,25,match,606.4,"{'hvac_mode': 'cool', 'temperature': 25.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
12,temperature,24,match,605.4,"{'hvac_mode': 'cool', 'temperature': 24.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
13,temperature,23,match,605.3,"{'hvac_mode': 'cool', 'temperature': 23.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
14,temperature,22,match,604.5,"{'hvac_mode': 'cool', 'temperature': 22.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
15,temperature,21,match,606.8,"{'hvac_mode': 'cool', 'temperature': 21.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
16,temperature,20,match,622.1,"{'hvac_mode': 'cool', 'temperature': 20.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
17,temperature,19,match,617.8,"{'hvac_mode': 'cool', 'temperature': 19.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
18,temperature,18,match,614.5,"{'hvac_mode': 'cool', 'temperature': 18.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
19,temperature,17,match,645.3,"{'hvac_mode': 'cool', 'temperature': 17.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
20,temperature,16,match,621.2,"{'hvac_mode': 'cool', 'temperature': 16.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
21,temperature,15,match,624.0,"{'hvac_mode': 'cool', 'temperature': 15.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
22,temperature,14,match,654.2,"{'hvac_mode': 'cool', 'temperature': 14.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
23,temperature,13,match,602.5,"{'hvac_mode': 'cool', 'temperature': 13.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
24,temperature,12,match,613.6,"{'hvac_mode': 'cool', 'temperature': 12.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
25,temperature,11,match,615.7,"{'hvac_mode': 'cool', 'temperature': 11.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
26,temperature,10,match,631.8,"{'hvac_mode': 'cool', 'temperature': 10.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
27,temperature,11,match,622.7,"{'hvac_mode': 'cool', 'temperature': 11.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
28,temperature,12,match,607.4,"{'hvac_mode': 'cool', 'temperature': 12.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
29,temperature,13,match,652.8,"{'hvac_mode': 'cool', 'temperature': 13.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
30,temperature,14,match,618.0,"{'hvac_mode': 'cool', 'temperature': 14.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
31,temperature,15,match,622.4,"{'hvac_mode': 'cool', 'temperature': 15.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
32,temperature,16,match,649.6,"{'hvac_mode': 'cool', 'temperature': 16.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
33,temperature,17,match,602.8,"{'hvac_mode': 'cool', 'temperature': 17.0, 'fan_mode': 'auto', 'swing_mode': 'off'}"
