t_s,phase,entity_state,call_accepted,ir_ok,error
7.37,fault,2026-09-25T07:44:25.995457+00:00,True,False,
9.9,fault,2026-09-25T07:44:28.488560+00:00,True,False,
12.43,fault,2026-09-25T07:44:30.984127+00:00,True,False,
14.96,fault,2026-09-25T07:44:33.909659+00:00,True,False,
17.47,fault,2026-09-25T07:44:36.375865+00:00,True,False,
20.0,fault,2026-09-25T07:44:38.874907+00:00,True,False,
22.53,fault,2026-09-25T07:44:41.374871+00:00,True,False,
25.04,fault,2026-09-25T07:44:43.858804+00:00,True,False,
27.58,fault,2026-09-25T07:44:46.354884+00:00,True,False,
30.11,fault,2026-09-25T07:44:48.849870+00:00,True,False,
32.64,fault,2026-09-25T07:44:51.343541+00:00,True,False,
35.18,fault,2026-09-25T07:44:53.839992+00:00,True,False,
37.69,fault,2026-09-25T07:44:56.323979+00:00,True,False,
40.21,fault,2026-09-25T07:44:58.806779+00:00,True,False,
42.72,fault,2026-09-25T07:45:01.289343+00:00,True,False,
45.26,fault,2026-09-25T07:45:03.785615+00:00,True,False,
47.77,fault,2026-09-25T07:45:06.736010+00:00,True,False,
50.29,fault,2026-09-25T07:45:09.217468+00:00,True,False,
52.82,fault,2026-09-25T07:45:11.716263+00:00,True,False,
55.34,fault,2026-09-25T07:45:14.200986+00:00,True,False,
57.87,fault,2026-09-25T07:45:16.701114+00:00,True,False,
60.4,fault,2026-09-25T07:45:19.195405+00:00,True,False,
62.92,fault,2026-09-25T07:45:21.672657+00:00,True,False,
65.44,fault,2026-09-25T07:45:24.152054+00:00,True,False,
67.97,fault,2026-09-25T07:45:26.649833+00:00,True,False,
70.5,fault,2026-09-25T07:45:29.149142+00:00,True,False,
73.02,fault,2026-09-25T07:45:31.631622+00:00,True,False,
75.55,fault,2026-09-25T07:45:34.129399+00:00,True,False,
78.07,fault,2026-09-25T07:45:36.609949+00:00,True,False,
80.6,fault,2026-09-25T07:45:39.584719+00:00,True,False,
83.12,fault,2026-09-25T07:45:42.066340+00:00,True,False,
85.65,fault,2026-09-25T07:45:44.565815+00:00,True,False,
88.18,fault,2026-09-25T07:45:47.065377+00:00,True,False,
90.7,fault,2026-09-25T07:45:49.548480+00:00,True,False,
93.23,fault,2026-09-25T07:45:52.044001+00:00,True,False,
95.75,fault,2026-09-25T07:45:54.522267+00:00,True,False,
98.27,fault,2026-09-25T07:45:56.999477+00:00,True,False,
100.77,fault,2026-09-25T07:45:59.471226+00:00,True,False,
103.3,fault,2026-09-25T07:46:01.963260+00:00,True,False,
105.83,fault,2026-09-25T07:46:04.461662+00:00,True,False,
108.35,fault,2026-09-25T07:46:06.943589+00:00,True,False,
110.86,fault,2026-09-25T07:46:09.423001+00:00,True,False,
113.38,fault,unavailable,True,False,
115.91,fault,unavailable,True,False,
118.43,fault,unavailable,True,False,
120.94,fault,unavailable,True,False,
123.46,fault,unavailable,True,False,
125.99,fault,unavailable,True,False,
128.53,fault,unavailable,True,False,
140.54,restored,unavailable,True,False,
143.07,restored,unavailable,True,False,
145.59,restored,unavailable,True,False,
148.11,restored,2026-09-25T07:46:46.786503+00:00,True,False,
150.64,restored,2026-09-25T07:46:49.284177+00:00,True,True,
