t_s,phase,entity_state,call_accepted,ir_ok,error
14.17,fault,2026-09-25T07:49:59.487718+00:00,True,False,
16.69,fault,2026-09-25T07:50:01.957532+00:00,True,False,
19.22,fault,2026-09-25T07:50:04.446594+00:00,True,False,
21.74,fault,2026-09-25T07:50:06.968917+00:00,True,False,
24.25,fault,2026-09-25T07:50:09.468819+00:00,True,False,
26.79,fault,2026-09-25T07:50:11.947006+00:00,True,False,
29.3,fault,2026-09-25T07:50:14.464594+00:00,True,False,
31.84,fault,2026-09-25T07:50:16.995908+00:00,True,False,
34.35,fault,2026-09-25T07:50:19.494377+00:00,True,False,
36.87,fault,2026-09-25T07:50:21.993457+00:00,True,False,
39.38,fault,2026-09-25T07:50:24.501075+00:00,True,False,
41.9,fault,2026-09-25T07:50:27.011284+00:00,True,False,
44.42,fault,2026-09-25T07:50:29.517353+00:00,True,False,
46.93,fault,2026-09-25T07:50:32.025183+00:00,True,False,
49.47,fault,2026-09-25T07:50:34.599769+00:00,True,False,
52.0,fault,2026-09-25T07:50:37.161089+00:00,True,False,
54.52,fault,2026-09-25T07:50:39.678878+00:00,True,False,
57.05,fault,2026-09-25T07:50:42.213256+00:00,True,False,
59.57,fault,2026-09-25T07:50:44.733787+00:00,True,False,
62.1,fault,2026-09-25T07:50:47.270147+00:00,True,False,
64.63,fault,2026-09-25T07:50:49.810133+00:00,True,False,
67.15,fault,2026-09-25T07:50:52.331682+00:00,True,False,
69.68,fault,2026-09-25T07:50:54.864999+00:00,True,False,
72.21,fault,2026-09-25T07:50:57.397368+00:00,True,False,
74.73,fault,2026-09-25T07:50:59.914648+00:00,True,False,
77.24,fault,2026-09-25T07:51:02.428542+00:00,True,False,
79.76,fault,2026-09-25T07:51:04.947450+00:00,True,False,
82.28,fault,2026-09-25T07:51:07.464660+00:00,True,False,
84.8,fault,2026-09-25T07:51:09.981738+00:00,True,False,
87.33,fault,2026-09-25T07:51:12.514721+00:00,True,False,
89.84,fault,2026-09-25T07:51:15.030444+00:00,True,False,
92.36,fault,2026-09-25T07:51:17.546768+00:00,True,False,
94.88,fault,2026-09-25T07:51:20.063490+00:00,True,False,
97.41,fault,2026-09-25T07:51:22.595771+00:00,True,False,
99.93,fault,2026-09-25T07:51:25.112862+00:00,True,False,
102.44,fault,2026-09-25T07:51:27.628967+00:00,True,False,
104.98,fault,2026-09-25T07:51:30.162361+00:00,True,False,
107.51,fault,2026-09-25T07:51:32.694053+00:00,True,False,
110.02,fault,2026-09-25T07:51:35.210720+00:00,True,False,
112.54,fault,unavailable,True,False,
115.07,fault,unavailable,True,False,
117.59,fault,unavailable,True,False,
120.1,fault,unavailable,True,False,
122.62,fault,unavailable,True,False,
125.15,fault,unavailable,True,False,
127.67,fault,unavailable,True,False,
148.6,restored,2026-09-25T07:52:13.926173+00:00,True,True,
